"seccion","dominio","ln","pan_pm15","pri_pm15","prd_pm15","pt_pm15","pvem_pm15","mc_pm15","na_pm15","morena_pm15","ph_pm15","pes_pm15","pfd_pm15","pripvemna_pm15","pripvem_pm15","prina_pm15","pvemna_pm15","panpt_pm15","candidatoindependiente_pm15","noregistrados_pm15","nulos_pm15","total_pm15","nh","pik","estrato.simulacion","id_unit","prob","stratum","fexp","seccion_sustituta"
2187,0,1132,503,411,25,2,2,0,0,0,0,0,0,1,4,1,1,0,0,0,12,962,49,0.020408163,1,19,0.040816327,1,24.5,
4724,0,1809,268,281,100,34,11,0,23,35,40,17,3,2,5,4,0,8,0,0,31,862,49,0.020408163,1,43,0.040816327,1,24.5,
4703,0,2822,806,462,111,26,15,0,26,29,61,23,34,4,9,1,0,16,0,2,63,1688,28,0.035714286,2,59,0.071428571,2,14,
5794,0,3100,538,416,25,36,21,538,8,66,27,0,26,1,2,1,1,7,0,2,53,1768,28,0.035714286,2,73,0.071428571,2,14,
400,1,2167,592,120,20,5,18,36,12,95,0,50,5,0,0,0,0,0,0,2,63,1018,72,0.013888889,3,78,0.055555556,3,18,2460
2000,1,3019,735,555,96,16,22,7,29,73,31,27,4,0,9,0,0,0,0,2,44,1650,72,0.013888889,3,96,0.055555556,3,18,
2308,1,3456,884,542,385,46,53,0,34,69,0,0,0,3,13,0,0,0,0,0,75,2104,72,0.013888889,3,114,0.055555556,3,18,
3938,1,1366,331,191,35,6,4,27,7,87,4,85,58,0,0,0,0,2,0,0,29,866,72,0.013888889,3,132,0.055555556,3,18,
259,1,1092,180,114,16,6,9,12,22,56,0,44,4,0,1,0,0,0,0,0,32,496,753,0.001328021,4,159,0.035856574,4,27.88888889,2984
286,1,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0.001328021,4,186,0.035856574,4,27.88888889,
314,1,3057,428,394,53,18,38,33,36,144,0,77,19,0,4,0,0,1,0,0,56,1301,753,0.001328021,4,214,0.035856574,4,27.88888889,
342,1,2402,353,312,50,9,19,68,22,85,0,26,4,0,0,0,0,0,0,0,37,985,753,0.001328021,4,242,0.035856574,4,27.88888889,
370,1,1359,363,101,12,4,13,24,18,63,0,34,5,0,3,0,0,0,0,2,57,699,753,0.001328021,4,270,0.035856574,4,27.88888889,2449
398,1,2503,455,300,34,23,28,36,32,102,0,55,6,0,8,0,0,1,0,2,37,1119,753,0.001328021,4,298,0.035856574,4,27.88888889,
1963,1,8832,1068,1137,772,32,64,254,48,94,172,101,0,10,34,1,0,0,0,2,92,3881,753,0.001328021,4,326,0.035856574,4,27.88888889,
2018,1,1926,297,304,101,8,14,12,21,58,13,42,5,1,3,0,0,0,0,3,44,926,753,0.001328021,4,354,0.035856574,4,27.88888889,
2052,1,1078,98,222,50,6,21,7,17,52,12,23,3,2,8,0,0,0,0,1,40,562,753,0.001328021,4,382,0.035856574,4,27.88888889,
2579,1,930,324,67,21,5,17,19,24,57,17,37,2,1,1,0,0,0,0,2,28,622,753,0.001328021,4,410,0.035856574,4,27.88888889,
2606,1,1579,248,156,30,9,22,14,19,63,16,33,10,4,1,0,1,0,0,0,27,653,753,0.001328021,4,437,0.035856574,4,27.88888889,
2634,1,1534,169,139,22,15,27,25,21,80,12,30,2,0,3,0,0,0,0,0,28,573,753,0.001328021,4,465,0.035856574,4,27.88888889,
2662,1,2326,218,267,65,16,34,31,14,147,32,45,4,1,4,1,3,0,0,1,42,925,753,0.001328021,4,493,0.035856574,4,27.88888889,
2691,1,984,199,122,19,2,15,14,9,62,24,35,3,2,4,0,0,0,0,2,24,536,753,0.001328021,4,521,0.035856574,4,27.88888889,
2730,1,1118,369,93,14,4,7,14,13,68,18,26,3,0,0,0,0,0,0,2,57,688,753,0.001328021,4,549,0.035856574,4,27.88888889,2791
2758,1,1287,509,90,39,2,10,16,6,42,11,16,8,0,2,0,0,0,0,1,20,772,753,0.001328021,4,577,0.035856574,4,27.88888889,
2786,1,799,336,53,7,3,5,5,4,48,12,14,3,2,2,0,0,0,0,1,29,524,753,0.001328021,4,605,0.035856574,4,27.88888889,
2814,1,1303,459,107,30,3,15,15,13,67,16,32,3,0,0,0,0,0,0,1,48,809,753,0.001328021,4,633,0.035856574,4,27.88888889,2909
2842,1,558,160,57,13,2,4,6,7,26,11,6,2,0,1,0,0,0,0,0,29,324,753,0.001328021,4,661,0.035856574,4,27.88888889,
2869,1,849,125,102,20,6,10,8,7,49,17,26,1,0,5,0,0,0,0,1,14,391,753,0.001328021,4,688,0.035856574,4,27.88888889,
2897,1,1567,205,162,41,10,18,64,14,35,19,47,1,0,5,0,0,0,0,1,20,642,753,0.001328021,4,716,0.035856574,4,27.88888889,
2925,1,4308,470,421,107,26,28,72,29,163,32,69,6,1,8,0,0,0,0,2,61,1495,753,0.001328021,4,744,0.035856574,4,27.88888889,
2953,1,2213,225,217,80,18,22,18,24,147,16,31,2,0,3,0,0,0,0,0,36,839,753,0.001328021,4,772,0.035856574,4,27.88888889,
2981,1,1418,174,175,30,16,26,20,17,55,23,30,5,0,3,0,0,0,0,1,30,605,753,0.001328021,4,800,0.035856574,4,27.88888889,
3010,1,1067,122,129,23,8,15,16,12,82,16,25,1,0,2,0,0,0,0,1,27,479,753,0.001328021,4,828,0.035856574,4,27.88888889,
3934,1,1434,269,253,19,8,5,72,16,91,11,30,22,0,0,0,0,1,0,0,17,814,753,0.001328021,4,856,0.035856574,4,27.88888889,
6414,1,655,75,123,70,1,1,8,5,2,2,10,0,0,7,0,0,0,0,0,6,310,753,0.001328021,4,884,0.035856574,4,27.88888889,
30,0,1266,149,214,15,15,234,0,83,9,0,0,0,0,0,0,0,0,0,0,35,754,814,0.001228501,5,929,0.033169533,5,30.14814815,
88,0,752,161,337,3,10,0,1,3,1,10,0,0,1,5,0,0,0,0,0,5,537,814,0.001228501,5,959,0.033169533,5,30.14814815,
119,0,1613,82,188,261,77,14,21,72,17,44,16,4,0,0,0,0,0,0,2,27,825,814,0.001228501,5,989,0.033169533,5,30.14814815,
432,0,908,57,263,8,181,4,2,13,6,0,5,1,0,0,0,0,0,0,0,16,556,814,0.001228501,5,1019,0.033169533,5,30.14814815,
641,0,1481,202,476,58,179,3,0,2,81,0,0,1,2,3,0,0,0,0,0,23,1030,814,0.001228501,5,1050,0.033169533,5,30.14814815,
2217,0,1718,32,237,37,13,23,139,28,19,6,44,1,0,0,0,0,0,0,0,66,645,814,0.001228501,5,1080,0.033169533,5,30.14814815,
2279,0,312,17,90,36,1,0,0,89,1,0,0,0,0,0,0,0,0,0,0,7,241,814,0.001228501,5,1110,0.033169533,5,30.14814815,
2322,0,1153,5,368,13,108,15,26,19,101,2,5,1,0,0,0,0,3,0,0,37,703,814,0.001228501,5,1140,0.033169533,5,30.14814815,
2360,0,900,149,220,13,17,3,11,8,37,2,11,4,0,2,0,0,0,0,0,23,500,814,0.001228501,5,1170,0.033169533,5,30.14814815,
2406,0,1054,271,210,31,38,1,2,11,40,13,10,0,1,0,0,0,0,0,0,26,654,814,0.001228501,5,1200,0.033169533,5,30.14814815,
2557,0,1157,206,330,12,9,9,164,0,4,0,25,1,0,0,0,0,0,0,0,28,788,814,0.001228501,5,1230,0.033169533,5,30.14814815,
3875,0,1682,243,405,12,8,12,109,173,13,5,0,2,0,0,0,0,0,0,0,42,1024,814,0.001228501,5,1261,0.033169533,5,30.14814815,
4014,0,886,137,390,13,0,10,0,10,10,0,0,1,0,16,1,0,0,0,0,25,613,814,0.001228501,5,1291,0.033169533,5,30.14814815,
4051,0,2111,155,747,34,24,17,6,55,31,11,14,1,0,0,0,0,0,0,0,82,1177,814,0.001228501,5,1321,0.033169533,5,30.14814815,
4084,0,1005,204,233,17,5,5,55,11,7,0,7,7,0,0,0,0,0,0,0,51,602,814,0.001228501,5,1351,0.033169533,5,30.14814815,
4155,0,701,91,139,171,132,0,0,11,10,0,0,0,0,0,0,0,0,0,0,7,561,814,0.001228501,5,1381,0.033169533,5,30.14814815,
4277,0,240,31,54,53,19,1,0,9,4,0,0,0,0,0,0,0,0,0,0,8,179,814,0.001228501,5,1411,0.033169533,5,30.14814815,
4348,0,1607,187,360,422,11,11,17,9,9,15,12,5,1,6,0,0,0,0,0,42,1107,814,0.001228501,5,1441,0.033169533,5,30.14814815,
4383,0,1126,214,312,196,6,15,1,4,3,0,0,1,0,0,0,0,0,0,0,27,779,814,0.001228501,5,1472,0.033169533,5,30.14814815,
4415,0,2473,53,392,19,51,48,338,9,40,10,12,0,0,13,0,0,17,0,0,51,1053,814,0.001228501,5,1502,0.033169533,5,30.14814815,
4463,0,814,61,198,43,15,4,16,19,49,15,4,2,0,0,0,0,0,0,0,46,472,814,0.001228501,5,1532,0.033169533,5,30.14814815,
4732,0,832,204,368,12,0,1,0,7,2,0,0,1,0,0,0,0,0,0,0,15,610,814,0.001228501,5,1562,0.033169533,5,30.14814815,
5409,0,1923,166,355,47,20,23,14,29,39,12,37,4,5,4,0,0,0,0,0,25,780,814,0.001228501,5,1592,0.033169533,5,30.14814815,
5753,0,1085,133,546,3,2,1,3,1,4,36,1,1,0,4,0,0,0,0,0,12,747,814,0.001228501,5,1622,0.033169533,5,30.14814815,
5783,0,1522,350,781,9,2,4,6,8,5,14,1,12,1,3,0,0,2,0,0,31,1229,814,0.001228501,5,1652,0.033169533,5,30.14814815,
5843,0,3429,74,213,28,22,11,29,23,30,18,15,12,0,0,0,0,0,0,0,34,509,814,0.001228501,5,1683,0.033169533,5,30.14814815,
5937,0,493,68,149,13,3,2,6,5,11,0,1,4,0,0,0,0,0,0,0,9,271,814,0.001228501,5,1713,0.033169533,5,30.14814815,
151,0,1756,177,335,367,35,5,0,18,24,0,200,0,1,0,5,0,4,0,5,30,1206,627,0.001594896,6,1738,0.043062201,6,23.22222222,
503,0,986,158,236,10,144,2,15,5,14,115,10,3,0,3,0,0,0,0,1,13,729,627,0.001594896,6,1761,0.043062201,6,23.22222222,
2197,0,1302,35,290,40,18,18,192,8,6,16,17,1,0,0,0,0,0,0,0,42,683,627,0.001594896,6,1784,0.043062201,6,23.22222222,
2345,0,715,170,219,4,18,4,5,5,13,6,3,0,1,1,0,0,0,0,0,15,464,627,0.001594896,6,1807,0.043062201,6,23.22222222,
2424,0,2952,315,825,91,45,23,13,23,57,18,28,2,0,9,0,0,0,0,2,42,1493,627,0.001594896,6,1830,0.043062201,6,23.22222222,
2479,0,1980,321,440,30,68,26,30,26,108,18,63,4,0,3,0,0,0,0,1,55,1193,627,0.001594896,6,1854,0.043062201,6,23.22222222,
2502,0,2027,426,402,19,47,23,37,34,106,41,43,1,1,1,0,0,0,0,6,56,1243,627,0.001594896,6,1877,0.043062201,6,23.22222222,
2525,0,1691,245,367,23,52,16,33,51,90,38,53,7,2,7,0,0,0,0,5,56,1045,627,0.001594896,6,1900,0.043062201,6,23.22222222,
2550,0,1384,58,203,33,118,5,177,3,169,29,79,0,0,9,0,0,4,0,0,17,904,627,0.001594896,6,1923,0.043062201,6,23.22222222,
3906,0,2245,378,481,59,34,24,88,18,159,16,24,16,0,0,0,0,4,0,0,25,1326,627,0.001594896,6,1947,0.043062201,6,23.22222222,
4132,0,2328,367,505,46,40,22,100,62,88,119,27,9,0,0,0,0,0,0,0,31,1416,627,0.001594896,6,1970,0.043062201,6,23.22222222,
4349,0,1716,120,439,475,11,5,7,12,11,32,11,2,1,2,0,0,0,0,1,39,1168,627,0.001594896,6,1993,0.043062201,6,23.22222222,
4451,0,2413,232,407,289,53,13,69,37,149,99,34,5,1,0,0,0,0,0,0,44,1432,627,0.001594896,6,2016,0.043062201,6,23.22222222,
5174,0,1765,464,322,77,55,25,30,34,60,35,42,8,0,2,1,0,0,0,2,41,1198,627,0.001594896,6,2039,0.043062201,6,23.22222222,
5198,0,1346,176,266,60,28,15,11,15,32,20,19,4,0,2,0,0,0,0,0,33,681,627,0.001594896,6,2063,0.043062201,6,23.22222222,
5221,0,810,189,184,39,45,14,9,9,17,9,20,2,1,1,0,0,0,0,0,16,555,627,0.001594896,6,2086,0.043062201,6,23.22222222,
